0.004,-100,-6.395,0.067,-100,428.19,2.577
0.006,-95,3.036,0.121,-95,433.86,2.539
0.01,-90,12.549,0.173,-90,439.62,2.505
0.015,-85,22.144,0.225,-85,445.46,2.475
0.023,-80,31.823,0.276,-80,451.39,2.448
0.033,-75,41.587,0.326,-75,457.4,2.424
0.048,-70,51.439,0.375,-70,463.48,2.403
0.067,-65,61.38,0.423,-65,469.63,2.385
0.093,-60,71.413,0.471,-60,475.86,2.368
0.126,-55,81.54,0.518,-55,482.14,2.354
0.168,-50,91.764,0.564,-50,488.49,2.342
0.221,-45,102.09,0.61,-45,494.89,2.331
0.287,-40,112.51,0.655,-40,501.35,2.323
0.368,-35,123.04,0.7,-35,507.85,2.315
0.466,-30,133.68,0.744,-30,514.4,2.309
0.584,-25,144.43,0.787,-25,520.99,2.305
0.725,-20,155.3,0.831,-20,527.61,2.301
0.891,-15,166.29,0.874,-15,534.26,2.299
1.013,-11.76,173.48,0.901,-11.76,538.59,2.298
1.085,-10,177.4,0.916,-10,540.93,2.297
1.31,-5,188.63,0.958,-5,547.63,2.297
1.57,0,200,1,0,554.34,2.297
1.867,5,211.5,1.042,5,561.06,2.298
2.206,10,223.15,1.083,10,567.78,2.3
2.59,15,234.94,1.124,15,574.5,2.302
3.022,20,246.88,1.165,20,581.21,2.305
3.507,25,258.98,1.205,25,587.9,2.309
4.047,30,271.24,1.246,30,594.57,2.312
4.648,35,283.67,1.286,35,601.21,2.317
5.312,40,296.28,1.326,40,607.8,2.321
6.044,45,309.07,1.366,45,614.34,2.326
6.849,50,322.06,1.406,50,620.82,2.331
7.73,55,335.25,1.446,55,627.22,2.336
8.692,60,348.66,1.486,60,633.53,2.341
9.739,65,362.29,1.526,65,639.72,2.347
10.875,70,376.17,1.566,70,645.77,2.352
12.107,75,390.31,1.607,75,651.64,2.357
13.438,80,404.73,1.647,80,657.31,2.362
14.874,85,419.46,1.687,85,662.74,2.367
16.42,90,434.54,1.728,90,667.86,2.371
18.081,95,450,1.77,95,672.62,2.374
19.865,100,465.9,1.811,100,676.94,2.377
21.778,105,482.33,1.854,105,680.7,2.378
23.826,110,499.39,1.897,110,683.74,2.379
26.019,115,517.26,1.942,115,685.81,2.377
28.366,120,536.26,1.989,120,686.46,2.371
30.88,125,557.01,2.04,125,684.81,2.361
33.578,130,581.25,2.099,130,678.44,2.34
