0,1.013,1.58,357.6
0,1.078,1.581,358.64
0,1.317,1.583,362.09
0,1.597,1.585,365.53
0,1.921,1.588,368.94
0,2.294,1.591,372.34
0,2.719,1.593,375.71
0,3.204,1.596,379.06
0,3.751,1.6,382.36
0,4.367,1.603,385.62
0,5.057,1.606,388.82
0,5.827,1.609,391.96
0,6.683,1.612,395.04
0,7.63,1.616,398.03
0,8.676,1.619,400.93
0,9.826,1.621,403.72
0,11.088,1.624,406.38
0,12.47,1.627,408.89
0,13.978,1.629,411.22
0,15.623,1.63,413.32
0,17.413,1.631,415.14
0,19.358,1.632,416.6
0,21.471,1.631,417.56
0,23.765,1.628,417.81
0,26.258,1.623,416.92
0,28.974,1.613,413.76
5,1.013,1.595,361.64
5,1.078,1.595,362.69
5,1.317,1.598,366.2
5,1.597,1.6,369.71
5,1.921,1.602,373.2
5,2.294,1.605,376.67
5,2.719,1.608,380.12
5,3.204,1.611,383.54
5,3.751,1.614,386.93
5,4.367,1.618,390.28
5,5.057,1.621,393.58
5,5.827,1.624,396.84
5,6.683,1.628,400.03
5,7.63,1.631,403.16
5,8.676,1.634,406.21
5,9.826,1.637,409.17
5,11.088,1.64,412.03
5,12.47,1.643,414.77
5,13.978,1.646,417.37
5,15.623,1.648,419.8
5,17.413,1.65,422.04
5,19.358,1.651,424.04
5,21.471,1.652,425.76
5,23.765,1.652,427.12
5,26.258,1.652,428.05
5,28.974,1.65,428.45
10,1.013,1.609,365.7
10,1.078,1.61,366.77
10,1.317,1.612,370.35
10,1.597,1.614,373.92
10,1.921,1.617,377.48
10,2.294,1.62,381.02
10,2.719,1.623,384.54
10,3.204,1.626,388.04
10,3.751,1.629,391.51
10,4.367,1.632,394.95
10,5.057,1.636,398.35
10,5.827,1.639,401.7
10,6.683,1.642,405.01
10,7.63,1.646,408.26
10,8.676,1.649,411.44
10,9.826,1.653,414.55
10,11.088,1.656,417.57
10,12.47,1.659,420.5
10,13.978,1.662,423.31
10,15.623,1.665,425.99
10,17.413,1.667,428.52
10,19.358,1.669,430.89
10,21.471,1.671,433.05
10,23.765,1.672,434.97
10,26.258,1.673,436.63
10,28.974,1.673,437.98
15,1.013,1.624,369.8
15,1.078,1.624,370.89
15,1.317,1.626,374.53
15,1.597,1.629,378.16
15,1.921,1.631,381.78
15,2.294,1.634,385.39
15,2.719,1.637,388.99
15,3.204,1.64,392.56
15,3.751,1.643,396.11
15,4.367,1.647,399.63
15,5.057,1.65,403.12
15,5.827,1.653,406.57
15,6.683,1.657,409.98
15,7.63,1.66,413.33
15,8.676,1.664,416.63
15,9.826,1.668,419.87
15,11.088,1.671,423.04
15,12.47,1.674,426.12
15,13.978,1.678,429.11
15,15.623,1.681,432
15,17.413,1.684,434.76
15,19.358,1.686,437.39
15,21.471,1.689,439.87
15,23.765,1.691,442.17
15,26.258,1.692,444.28
15,28.974,1.694,446.17
20,1.013,1.638,373.93
20,1.078,1.639,375.04
20,1.317,1.641,378.73
20,1.597,1.643,382.43
20,1.921,1.645,386.11
20,2.294,1.648,389.79
20,2.719,1.651,393.45
20,3.204,1.654,397.1
20,3.751,1.657,400.73
20,4.367,1.661,404.32
