0,1.013,1.749,415.55,15.13
0,1.227,1.75,419.12,20
0,1.482,1.752,422.78,25
0,1.778,1.753,426.43,30
0,2.117,1.755,430.08,35
0,2.505,1.757,433.71,40
0,2.945,1.76,437.33,45
0,3.442,1.762,440.93,50
0,4.001,1.765,444.5,55
0,4.626,1.768,448.04,60
0,5.323,1.771,451.54,65
0,6.096,1.774,455,70
0,6.951,1.777,458.4,75
0,7.893,1.78,461.75,80
0,8.928,1.783,465.02,85
0,10.061,1.786,468.2,90
0,11.298,1.788,471.29,95
0,12.646,1.791,474.26,100
0,14.11,1.794,477.09,105
0,15.698,1.796,479.74,110
0,17.417,1.798,482.19,115
0,19.275,1.799,484.39,120
0,21.28,1.8,486.25,125
0,23.442,1.8,487.7,130
0,25.773,1.798,488.57,135
5,1.013,1.765,420.14,20.13
5,1.227,1.766,423.79,25
5,1.482,1.768,427.54,30
5,1.778,1.769,431.29,35
5,2.117,1.771,435.02,40
5,2.505,1.773,438.75,45
5,2.945,1.776,442.47,50
5,3.442,1.778,446.17,55
5,4.001,1.781,449.84,60
5,4.626,1.784,453.49,65
5,5.323,1.787,457.11,70
5,6.096,1.79,460.69,75
5,6.951,1.793,464.22,80
5,7.893,1.796,467.71,85
5,8.928,1.8,471.13,90
5,10.061,1.803,474.48,95
5,11.298,1.806,477.75,100
5,12.646,1.809,480.92,105
5,14.11,1.812,483.98,110
5,15.698,1.814,486.9,115
5,17.417,1.817,489.68,120
5,19.275,1.819,492.26,125
5,21.28,1.821,494.63,130
5,23.442,1.822,496.72,135
5,25.773,1.823,498.49,140
10,1.013,1.781,424.74,25.13
10,1.227,1.782,428.47,30
10,1.482,1.783,432.3,35
10,1.778,1.785,436.13,40
10,2.117,1.787,439.95,45
10,2.505,1.789,443.77,50
10,2.945,1.791,447.58,55
10,3.442,1.794,451.37,60
10,4.001,1.797,455.14,65
10,4.626,1.8,458.89,70
10,5.323,1.803,462.62,75
10,6.096,1.806,466.31,80
10,6.951,1.809,469.96,85
10,7.893,1.813,473.56,90
10,8.928,1.816,477.12,95
10,10.061,1.819,480.61,100
10,11.298,1.823,484.04,105
10,12.646,1.826,487.38,110
10,14.11,1.829,490.63,115
10,15.698,1.832,493.78,120
10,17.417,1.835,496.8,125
10,19.275,1.838,499.67,130
10,21.28,1.84,502.38,135
10,23.442,1.842,504.89,140
10,25.773,1.843,507.18,145
15,1.013,1.796,429.34,30.13
15,1.227,1.797,433.14,35
15,1.482,1.798,437.05,40
15,1.778,1.8,440.96,45
15,2.117,1.802,444.87,50
15,2.505,1.804,448.77,55
15,2.945,1.807,452.67,60
15,3.442,1.81,456.55,65
15,4.001,1.812,460.41,70
15,4.626,1.815,464.26,75
15,5.323,1.819,468.08,80
15,6.096,1.822,471.87,85
15,6.951,1.825,475.63,90
15,7.893,1.829,479.35,95
15,8.928,1.832,483.02,100
15,10.061,1.835,486.65,105
15,11.298,1.839,490.21,110
15,12.646,1.842,493.7,115
15,14.11,1.846,497.12,120
15,15.698,1.849,500.44,125
15,17.417,1.852,503.67,130
15,19.275,1.855,506.77,135
15,21.28,1.858,509.74,140
15,23.442,1.86,512.56,145
15,25.773,1.863,515.21,150
20,1.013,1.811,433.96,35.13
20,1.227,1.812,437.83,40
20,1.482,1.814,441.82,45
20,1.778,1.815,445.81,50
20,2.117,1.817,449.79,55
20,2.505,1.82,453.77,60
20,2.945,1.822,457.75,65
20,3.442,1.825,461.71,70
20,4.001,1.828,465.66,75
20,4.626,1.831,469.6,80
20,5.323,1.834,473.51,85
20,6.096,1.837,477.4,90
20,6.951,1.84,481.25,95
20,7.893,1.844,485.08,100
20,8.928,1.847,488.86,105
20,10.061,1.851,492.6,110
20,11.298,1.855,496.29,115
20,12.646,1.858,499.92,120
20,14.11,1.862,503.48,125
20,15.698,1.865,506.96,130
20,17.417,1.869,510.35,135
20,19.275,1.872,513.65,140
20,21.28,1.875,516.83,145
20,23.442,1.878,519.89,150
20,25.773,1.88,522.82,155
25,1.013,1.826,438.6,40.13
25,1.227,1.827,442.54,45
25,1.482,1.828,446.6,50
25,1.778,1.83,450.65,55
25,2.117,1.832,454.71,60
25,2.505,1.834,458.77,65
25,2.945,1.837,462.82,70
25,3.442,1.84,466.87,75
25,4.001,1.843,470.9,80
25,4.626,1.846,474.92,85
25,5.323,1.849,478.92,90
25,6.096,1.852,482.9,95
25,6.951,1.856,486.85,100
25,7.893,1.859,490.77,105
25,8.928,1.863,494.66,110
25,10.061,1.866,498.5,115
25,11.298,1.87,502.3,120
25,12.646,1.874,506.05,125
25,14.11,1.877,509.74,130
25,15.698,1.881,513.36,135
25,17.417,1.884,516.9,140
25,19.275,1.888,520.37,145
25,21.28,1.891,523.73,150
25,23.442,1.894,527,155
25,25.773,1.897,530.14,160
30,1.013,1.841,443.25,45.13
30,1.227,1.842,447.26,50
30,1.482,1.843,451.39,55
30,1.778,1.845,455.52,60
30,2.117,1.847,459.65,65
30,2.505,1.849,463.78,70
30,2.945,1.852,467.9,75
30,3.442,1.854,472.02,80
30,4.001,1.857,476.13,85
30,4.626,1.86,480.23,90
30,5.323,1.864,484.31,95
30,6.096,1.867,488.38,100
30,6.951,1.87,492.42,105
30,7.893,1.874,496.43,110
30,8.928,1.878,500.41,115
30,10.061,1.881,504.36,120
30,11.298,1.885,508.26,125
30,12.646,1.889,512.12,130
30,14.11,1.893,515.93,135
30,15.698,1.896,519.67,140
30,17.417,1.9,523.35,145
30,19.275,1.904,526.96,150
30,21.28,1.907,530.49,155
30,23.442,1.911,533.92,160
30,25.773,1.914,537.25,165
35,1.013,1.855,447.94,50.13
35,1.227,1.856,452.01,55
35,1.482,1.858,456.2,60
35,1.778,1.859,460.4,65
35,2.117,1.861,464.6,70
35,2.505,1.864,468.8,75
35,2.945,1.866,473,80
35,3.442,1.869,477.19,85
35,4.001,1.872,481.37,90
35,4.626,1.875,485.55,95
35,5.323,1.878,489.71,100
35,6.096,1.881,493.85,105
35,6.951,1.885,497.98,110
35,7.893,1.889,502.07,115
35,8.928,1.892,506.15,120
35,10.061,1.896,510.19,125
35,11.298,1.9,514.19,130
35,12.646,1.904,518.15,135
35,14.11,1.908,522.06,140
35,15.698,1.911,525.92,145
35,17.417,1.915,529.73,150
35,19.275,1.919,533.47,155
35,21.28,1.923,537.13,160
35,23.442,1.926,540.72,165
35,25.773,1.93,544.22,170
40,1.013,1.87,452.65,55.13
40,1.227,1.871,456.78,60
40,1.482,1.872,461.04,65
40,1.778,1.874,465.3,70
40,2.117,1.876,469.56,75
40,2.505,1.878,473.83,80
40,2.945,1.88,478.1,85
40,3.442,1.883,482.36,90
40,4.001,1.886,486.62,95
40,4.626,1.889,490.87,100
40,5.323,1.892,495.1,105
40,6.096,1.896,499.32,110
40,6.951,1.899,503.53,115
40,7.893,1.903,507.71,120
40,8.928,1.907,511.86,125
40,10.061,1.911,515.99,130
40,11.298,1.914,520.09,135
40,12.646,1.918,524.14,140
40,14.11,1.922,528.16,145
40,15.698,1.926,532.13,150
40,17.417,1.93,536.04,155
40,19.275,1.934,539.9,160
40,21.28,1.938,543.69,165
40,23.442,1.941,547.42,170
40,25.773,1.945,551.06,175
45,1.013,1.884,457.39,60.13
45,1.227,1.885,461.58,65
45,1.482,1.886,465.9,70
45,1.778,1.888,470.22,75
45,2.117,1.89,474.55,80
45,2.505,1.892,478.89,85
45,2.945,1.895,483.22,90
45,3.442,1.897,487.55,95
45,4.001,1.9,491.88,100
45,4.626,1.903,496.19,105
45,5.323,1.907,500.5,110
45,6.096,1.91,504.8,115
45,6.951,1.914,509.08,120
45,7.893,1.917,513.34,125
45,8.928,1.921,517.57,130
45,10.061,1.925,521.78,135
45,11.298,1.929,525.97,140
45,12.646,1.933,530.12,145
45,14.11,1.937,534.22,150
45,15.698,1.941,538.29,155
45,17.417,1.945,542.31,160
45,19.275,1.948,546.28,165
45,21.28,1.952,550.19,170
45,23.442,1.956,554.04,175
45,25.773,1.96,557.82,180
