0.052,-100,68.885,0.407,-86.89,338.81,1.897
0.077,-95,75.37,0.444,-81.9,341.98,1.877
0.112,-90,81.767,0.48,-76.9,345.15,1.859
0.158,-85,88.106,0.514,-71.92,348.34,1.842
0.219,-80,94.411,0.547,-66.93,351.54,1.827
0.299,-75,100.7,0.579,-61.96,354.73,1.813
0.4,-70,106.99,0.61,-56.99,357.92,1.801
0.528,-65,113.3,0.641,-52.02,361.09,1.79
0.686,-60,119.63,0.671,-47.07,364.26,1.78
0.879,-55,125.99,0.7,-42.12,367.4,1.771
1.013,-52.03,129.79,0.717,-39.18,369.25,1.766
1.113,-50,132.4,0.729,-37.17,370.52,1.763
1.394,-45,138.85,0.758,-32.24,373.6,1.755
1.727,-40,145.36,0.786,-27.31,376.65,1.748
2.118,-35,151.93,0.813,-22.4,379.66,1.742
2.574,-30,158.56,0.841,-17.49,382.62,1.737
3.101,-25,165.26,0.868,-12.6,385.52,1.732
3.706,-20,172.04,0.895,-7.71,388.37,1.727
4.397,-15,178.9,0.921,-2.84,391.13,1.723
5.179,-10,185.84,0.948,2.02,393.82,1.719
6.061,-5,192.87,0.974,6.86,396.42,1.715
7.049,0,200,1,11.68,398.92,1.712
8.151,5,207.23,1.026,16.49,401.29,1.708
9.375,10,214.57,1.052,21.27,403.54,1.705
10.728,15,222.02,1.077,26.03,405.65,1.702
12.216,20,229.6,1.103,30.77,407.59,1.698
13.849,25,237.32,1.128,35.48,409.34,1.695
15.633,30,245.18,1.154,40.16,410.88,1.691
17.577,35,253.22,1.18,44.81,412.18,1.687
19.686,40,261.44,1.205,49.42,413.2,1.683
21.97,45,269.89,1.231,53.98,413.88,1.677
24.434,50,278.61,1.258,58.5,414.17,1.672
27.085,55,287.64,1.285,62.95,413.98,1.665
29.928,60,297.07,1.312,67.33,413.17,1.657
32.968,65,307.02,1.341,71.61,411.56,1.647
36.204,70,317.71,1.371,75.76,408.81,1.634
39.624,75,329.55,1.404,79.72,404.32,1.617
43.178,80,343.67,1.443,83.32,396.52,1.592
