0,1.013,1763,3.2396e+05,-82.02
0,1.137,1754,3.2481e+05,-80
0,1.495,1734,3.2684e+05,-75
0,1.937,1715,3.2879e+05,-70
0,2.474,1697,3.3065e+05,-65
0,3.119,1680,3.324e+05,-60
0,3.886,1664,3.3402e+05,-55
0,4.789,1648,3.3552e+05,-50
0,5.844,1633,3.3686e+05,-45
0,7.065,1619,3.3804e+05,-40
0,8.47,1605,3.3904e+05,-35
0,10.074,1592,3.3982e+05,-30
0,11.896,1578,3.4036e+05,-25
0,13.953,1564,3.4062e+05,-20
0,16.265,1550,3.4055e+05,-15
0,18.853,1536,3.4009e+05,-10
0,21.739,1520,3.3916e+05,-5
0,24.947,1504,3.3764e+05,0
0,28.503,1486,3.3536e+05,5
0,32.438,1465,3.3201e+05,10
0,36.791,1439,3.2706e+05,15
0,41.61,1405,3.1917e+05,20
0,46.986,1340,3.0155e+05,25
5,1.013,1781,3.2738e+05,-77.02
5,1.137,1772,3.2827e+05,-75
5,1.495,1752,3.3042e+05,-70
5,1.937,1733,3.3248e+05,-65
5,2.474,1715,3.3446e+05,-60
5,3.119,1698,3.3634e+05,-55
5,3.886,1682,3.3812e+05,-50
5,4.789,1667,3.3977e+05,-45
5,5.844,1653,3.4129e+05,-40
5,7.065,1639,3.4266e+05,-35
5,8.47,1625,3.4386e+05,-30
5,10.074,1612,3.4488e+05,-25
5,11.896,1599,3.457e+05,-20
5,13.953,1586,3.4628e+05,-15
5,16.265,1573,3.4659e+05,-10
5,18.853,1560,3.466e+05,-5
5,21.739,1547,3.4625e+05,0
5,24.947,1532,3.4548e+05,5
5,28.503,1517,3.4422e+05,10
5,32.438,1501,3.4236e+05,15
5,36.791,1483,3.3975e+05,20
5,41.61,1463,3.3622e+05,25
5,46.986,1439,3.3147e+05,30
10,1.013,1798,3.3074e+05,-72.02
10,1.137,1789,3.3167e+05,-70
10,1.495,1769,3.3391e+05,-65
10,1.937,1750,3.3608e+05,-60
10,2.474,1732,3.3817e+05,-55
10,3.119,1715,3.4017e+05,-50
10,3.886,1700,3.4207e+05,-45
10,4.789,1685,3.4386e+05,-40
10,5.844,1671,3.4553e+05,-35
10,7.065,1657,3.4706e+05,-30
10,8.47,1644,3.4845e+05,-25
10,10.074,1631,3.4967e+05,-20
10,11.896,1619,3.5071e+05,-15
10,13.953,1607,3.5154e+05,-10
10,16.265,1594,3.5215e+05,-5
10,18.853,1582,3.5251e+05,0
10,21.739,1570,3.5257e+05,5
10,24.947,1557,3.5231e+05,10
10,28.503,1543,3.5167e+05,15
10,32.438,1529,3.5061e+05,20
10,36.791,1514,3.4905e+05,25
10,41.61,1498,3.4691e+05,30
10,46.986,1481,3.4406e+05,35
15,1.013,1814,3.3405e+05,-67.02
15,1.137,1805,3.3501e+05,-65
15,1.495,1785,3.3734e+05,-60
15,1.937,1766,3.3961e+05,-55
15,2.474,1748,3.418e+05,-50
15,3.119,1732,3.4391e+05,-45
15,3.886,1716,3.4592e+05,-40
15,4.789,1702,3.4784e+05,-35
15,5.844,1688,3.4964e+05,-30
15,7.065,1674,3.5132e+05,-25
15,8.47,1662,3.5286e+05,-20
15,10.074,1649,3.5426e+05,-15
15,11.896,1637,3.5549e+05,-10
15,13.953,1625,3.5654e+05,-5
15,16.265,1614,3.5739e+05,0
15,18.853,1602,3.5802e+05,5
15,21.739,1590,3.5841e+05,10
15,24.947,1578,3.5852e+05,15
15,28.503,1566,3.5833e+05,20
15,32.438,1554,3.578e+05,25
15,36.791,1540,3.5689e+05,30
15,41.61,1527,3.5555e+05,35
15,46.986,1511,3.5368e+05,40
20,1.013,1830,3.3734e+05,-62.02
20,1.137,1821,3.3834e+05,-60
20,1.495,1801,3.4075e+05,-55
20,1.937,1782,3.431e+05,-50
20,2.474,1764,3.4538e+05,-45
20,3.119,1748,3.4759e+05,-40
20,3.886,1732,3.4971e+05,-35
20,4.789,1718,3.5174e+05,-30
20,5.844,1704,3.5366e+05,-25
20,7.065,1691,3.5547e+05,-20
20,8.47,1678,3.5715e+05,-15
20,10.074,1666,3.587e+05,-10
20,11.896,1655,3.601e+05,-5
20,13.953,1643,3.6134e+05,0
20,16.265,1632,3.624e+05,5
20,18.853,1621,3.6326e+05,10
20,21.739,1610,3.6391e+05,15
20,24.947,1598,3.6432e+05,20
20,28.503,1587,3.6448e+05,25
20,32.438,1575,3.6435e+05,30
20,36.791,1563,3.6391e+05,35
20,41.61,1551,3.6311e+05,40
20,46.986,1538,3.6189e+05,45
25,1.013,1845,3.4062e+05,-57.02
25,1.137,1836,3.4164e+05,-55
25,1.495,1816,3.4413e+05,-50
25,1.937,1797,3.4656e+05,-45
25,2.474,1780,3.4893e+05,-40
25,3.119,1763,3.5123e+05,-35
25,3.886,1748,3.5345e+05,-30
25,4.789,1733,3.5558e+05,-25
25,5.844,1720,3.5761e+05,-20
25,7.065,1707,3.5954e+05,-15
25,8.47,1694,3.6135e+05,-10
25,10.074,1683,3.6304e+05,-5
25,11.896,1671,3.6459e+05,0
25,13.953,1660,3.6599e+05,5
25,16.265,1649,3.6723e+05,10
25,18.853,1638,3.6829e+05,15
25,21.739,1628,3.6916e+05,20
25,24.947,1617,3.6983e+05,25
25,28.503,1606,3.7027e+05,30
25,32.438,1595,3.7046e+05,35
25,36.791,1584,3.7038e+05,40
25,41.61,1573,3.7001e+05,45
25,46.986,1561,3.6926e+05,50
30,1.013,1860,3.439e+05,-52.02
30,1.137,1851,3.4495e+05,-50
30,1.495,1831,3.4751e+05,-45
30,1.937,1812,3.5002e+05,-40
30,2.474,1795,3.5247e+05,-35
30,3.119,1778,3.5485e+05,-30
30,3.886,1763,3.5716e+05,-25
30,4.789,1749,3.5938e+05,-20
30,5.844,1735,3.6152e+05,-15
30,7.065,1722,3.6356e+05,-10
30,8.47,1710,3.6548e+05,-5
30,10.074,1698,3.673e+05,0
30,11.896,1687,3.6898e+05,5
30,13.953,1676,3.7054e+05,10
30,16.265,1666,3.7194e+05,15
30,18.853,1655,3.7318e+05,20
30,21.739,1645,3.7424e+05,25
30,24.947,1635,3.7512e+05,30
30,28.503,1624,3.758e+05,35
30,32.438,1614,3.7626e+05,40
30,36.791,1604,3.7649e+05,45
30,41.61,1593,3.7645e+05,50
30,46.986,1581,3.7608e+05,55
35,1.013,1875,3.4718e+05,-47.02
35,1.137,1866,3.4826e+05,-45
35,1.495,1846,3.5088e+05,-40
35,1.937,1827,3.5346e+05,-35
35,2.474,1809,3.5599e+05,-30
35,3.119,1793,3.5845e+05,-25
35,3.886,1778,3.6085e+05,-20
35,4.789,1763,3.6316e+05,-15
35,5.844,1750,3.6539e+05,-10
35,7.065,1737,3.6753e+05,-5
35,8.47,1725,3.6957e+05,0
35,10.074,1714,3.715e+05,5
35,11.896,1702,3.7331e+05,10
35,13.953,1692,3.75e+05,15
35,16.265,1681,3.7655e+05,20
35,18.853,1671,3.7795e+05,25
35,21.739,1661,3.7919e+05,30
35,24.947,1651,3.8026e+05,35
35,28.503,1642,3.8115e+05,40
35,32.438,1632,3.8184e+05,45
35,36.791,1622,3.8232e+05,50
35,41.61,1612,3.8256e+05,55
35,46.986,1601,3.8251e+05,60
40,1.013,1889,3.5048e+05,-42.02
40,1.137,1880,3.5158e+05,-40
40,1.495,1860,3.5427e+05,-35
40,1.937,1841,3.5692e+05,-30
40,2.474,1824,3.5952e+05,-25
40,3.119,1807,3.6205e+05,-20
40,3.886,1792,3.6453e+05,-15
40,4.789,1778,3.6693e+05,-10
40,5.844,1764,3.6925e+05,-5
40,7.065,1752,3.7148e+05,0
40,8.47,1740,3.7363e+05,5
40,10.074,1728,3.7566e+05,10
40,11.896,1717,3.7759e+05,15
40,13.953,1707,3.794e+05,20
40,16.265,1697,3.8108e+05,25
40,18.853,1687,3.8263e+05,30
40,21.739,1677,3.8403e+05,35
40,24.947,1668,3.8527e+05,40
40,28.503,1658,3.8634e+05,45
40,32.438,1649,3.8724e+05,50
40,36.791,1639,3.8794e+05,55
40,41.61,1629,3.8843e+05,60
40,46.986,1619,3.8865e+05,65
45,1.013,1903,3.5378e+05,-37.02
45,1.137,1894,3.5491e+05,-35
45,1.495,1874,3.5767e+05,-30
45,1.937,1855,3.6038e+05,-25
45,2.474,1838,3.6305e+05,-20
45,3.119,1821,3.6566e+05,-15
45,3.886,1806,3.6821e+05,-10
45,4.789,1792,3.7069e+05,-5
45,5.844,1779,3.731e+05,0
45,7.065,1766,3.7542e+05,5
