0,0.038,2.751,468.31
0,0.059,2.7,471.48
0,0.089,2.653,474.61
0,0.13,2.609,477.7
0,0.187,2.568,480.72
0,0.262,2.53,483.68
0,0.361,2.494,486.57
0,0.488,2.46,489.38
0,0.65,2.429,492.11
0,0.852,2.399,494.74
0,1.013,2.38,496.45
0,1.101,2.371,497.27
0,1.406,2.345,499.7
0,1.774,2.32,502.02
0,2.214,2.296,504.21
0,2.734,2.273,506.27
0,3.346,2.252,508.2
0,4.058,2.231,509.97
0,4.881,2.211,511.58
0,5.826,2.192,513.02
0,6.906,2.173,514.26
0,8.131,2.154,515.3
0,9.514,2.136,516.11
0,11.069,2.118,516.66
0,12.808,2.101,516.93
0,14.746,2.083,516.9
0,16.896,2.065,516.51
0,19.275,2.047,515.73
0,21.898,2.028,514.48
0,24.783,2.009,512.71
0,27.948,1.989,510.29
0,31.412,1.967,507.1
0,35.199,1.943,502.93
0,39.332,1.917,497.44
0,43.843,1.885,490.05
0,48.768,1.846,479.52
0,54.168,1.788,461.72
5,0.038,2.772,471.82
5,0.059,2.72,475.05
5,0.089,2.672,478.24
5,0.13,2.628,481.38
5,0.187,2.587,484.48
5,0.262,2.549,487.52
5,0.361,2.513,490.5
5,0.488,2.479,493.4
5,0.65,2.448,496.23
5,0.852,2.419,498.98
5,1.013,2.4,500.76
5,1.101,2.391,501.63
5,1.406,2.364,504.18
5,1.774,2.34,506.63
5,2.214,2.316,508.97
5,2.734,2.293,511.19
5,3.346,2.272,513.27
5,4.058,2.251,515.22
5,4.881,2.232,517.01
5,5.826,2.213,518.64
5,6.906,2.194,520.1
5,8.131,2.176,521.37
5,9.514,2.159,522.43
5,11.069,2.142,523.26
5,12.808,2.125,523.85
5,14.746,2.108,524.16
5,16.896,2.091,524.18
5,19.275,2.074,523.86
5,21.898,2.056,523.18
5,24.783,2.039,522.07
5,27.948,2.021,520.49
5,31.412,2.002,518.37
5,35.199,1.982,515.6
5,39.332,1.96,512.07
5,43.843,1.937,507.62
5,48.768,1.912,502.06
5,54.168,1.883,495.09
10,0.038,2.791,475.34
10,0.059,2.739,478.61
10,0.089,2.691,481.85
10,0.13,2.647,485.05
10,0.187,2.606,488.21
10,0.262,2.567,491.32
10,0.361,2.531,494.38
10,0.488,2.498,497.37
10,0.65,2.466,500.29
10,0.852,2.437,503.13
10,1.013,2.418,504.98
10,1.101,2.409,505.89
10,1.406,2.383,508.56
10,1.774,2.358,511.12
10,2.214,2.335,513.59
10,2.734,2.312,515.94
10,3.346,2.291,518.17
10,4.058,2.271,520.26
10,4.881,2.251,522.22
10,5.826,2.233,524.03
10,6.906,2.214,525.67
10,8.131,2.197,527.14
10,9.514,2.18,528.42
10,11.069,2.163,529.49
10,12.808,2.147,530.34
10,14.746,2.13,530.95
10,16.896,2.114,531.3
10,19.275,2.098,531.36
10,21.898,2.082,531.11
10,24.783,2.065,530.5
10,27.948,2.048,529.51
10,31.412,2.031,528.1
10,35.199,2.013,526.19
10,39.332,1.994,523.74
10,43.843,1.975,520.67
10,48.768,1.954,516.89
10,54.168,1.932,512.26
15,0.038,2.81,478.87
15,0.059,2.758,482.18
15,0.089,2.71,485.46
15,0.13,2.665,488.72
15,0.187,2.624,491.94
15,0.262,2.585,495.11
15,0.361,2.549,498.23
15,0.488,2.516,501.3
15,0.65,2.484,504.3
15,0.852,2.455,507.23
15,1.013,2.436,509.15
15,1.101,2.427,510.09
15,1.406,2.401,512.86
15,1.774,2.376,515.53
15,2.214,2.353,518.11
15,2.734,2.331,520.58
15,3.346,2.31,522.94
15,4.058,2.289,525.18
15,4.881,2.27,527.28
15,5.826,2.252,529.24
15,6.906,2.234,531.05
15,8.131,2.216,532.7
15,9.514,2.2,534.17
15,11.069,2.183,535.46
15,12.808,2.167,536.54
15,14.746,2.151,537.41
15,16.896,2.136,538.04
15,19.275,2.12,538.41
15,21.898,2.105,538.51
15,24.783,2.089,538.31
15,27.948,2.073,537.78
15,31.412,2.057,536.89
15,35.199,2.041,535.61
15,39.332,2.024,533.89
15,43.843,2.006,531.7
15,48.768,1.988,528.96
15,54.168,1.969,525.6
20,0.038,2.829,482.41
20,0.059,2.776,485.76
20,0.089,2.728,489.09
20,0.13,2.683,492.39
20,0.187,2.641,495.66
20,0.262,2.603,498.89
20,0.361,2.567,502.08
20,0.488,2.533,505.22
20,0.65,2.502,508.29
20,0.852,2.472,511.31
20,1.013,2.453,513.28
20,1.101,2.444,514.25
20,1.406,2.418,517.11
20,1.774,2.394,519.88
20,2.214,2.37,522.57
20,2.734,2.348,525.15
20,3.346,2.327,527.63
20,4.058,2.307,529.99
20,4.881,2.288,532.23
20,5.826,2.27,534.34
20,6.906,2.252,536.3
20,8.131,2.235,538.11
20,9.514,2.218,539.76
20,11.069,2.202,541.24
20,12.808,2.187,542.53
20,14.746,2.171,543.62
20,16.896,2.156,544.49
20,19.275,2.141,545.14
20,21.898,2.126,545.54
20,24.783,2.111,545.67
20,27.948,2.096,545.52
20,31.412,2.081,545.06
20,35.199,2.066,544.26
20,39.332,2.05,543.1
20,43.843,2.034,541.54
20,48.768,2.017,539.54
20,54.168,2,537.02
25,0.038,2.847,485.96
25,0.059,2.794,489.35
25,0.089,2.746,492.72
25,0.13,2.701,496.07
25,0.187,2.659,499.39
25,0.262,2.62,502.68
25,0.361,2.584,505.93
25,0.488,2.55,509.13
25,0.65,2.518,512.27
25,0.852,2.489,515.36
25,1.013,2.47,517.39
25,1.101,2.461,518.38
25,1.406,2.435,521.33
25,1.774,2.41,524.2
25,2.214,2.387,526.98
25,2.734,2.365,529.67
25,3.346,2.344,532.26
25,4.058,2.324,534.74
25,4.881,2.305,537.1
25,5.826,2.287,539.34
25,6.906,2.27,541.44
25,8.131,2.253,543.41
25,9.514,2.237,545.22
25,11.069,2.221,546.87
25,12.808,2.205,548.34
25,14.746,2.19,549.63
25,16.896,2.176,550.73
25,19.275,2.161,551.62
25,21.898,2.147,552.28
25,24.783,2.132,552.7
25,27.948,2.118,552.87
25,31.412,2.103,552.76
25,35.199,2.089,552.37
25,39.332,2.074,551.65
25,43.843,2.059,550.59
25,48.768,2.044,549.15
25,54.168,2.027,547.28
30,0.038,2.865,489.53
30,0.059,2.812,492.96
30,0.089,2.763,496.37
30,0.13,2.718,499.76
30,0.187,2.676,503.13
30,0.262,2.637,506.47
30,0.361,2.6,509.78
30,0.488,2.567,513.04
30,0.65,2.535,516.25
30,0.852,2.505,519.41
30,1.013,2.487,521.49
30,1.101,2.478,522.51
30,1.406,2.451,525.54
30,1.774,2.427,528.49
30,2.214,2.404,531.37
30,2.734,2.382,534.15
30,3.346,2.361,536.84
30,4.058,2.341,539.43
30,4.881,2.322,541.91
30,5.826,2.304,544.27
30,6.906,2.287,546.51
30,8.131,2.27,548.61
30,9.514,2.254,550.57
30,11.069,2.239,552.38
30,12.808,2.223,554.03
30,14.746,2.209,555.51
30,16.896,2.194,556.8
30,19.275,2.18,557.9
30,21.898,2.166,558.8
30,24.783,2.152,559.48
30,27.948,2.138,559.92
30,31.412,2.124,560.13
30,35.199,2.111,560.06
30,39.332,2.097,559.72
30,43.843,2.082,559.08
30,48.768,2.068,558.1
30,54.168,2.053,556.73
35,0.038,2.882,493.12
35,0.059,2.829,496.58
35,0.089,2.78,500.03
35,0.13,2.734,503.47
35,0.187,2.692,506.88
35,0.262,2.653,510.27
35,0.361,2.617,513.63
35,0.488,2.583,516.95
35,0.65,2.551,520.23
35,0.852,2.521,523.46
35,1.013,2.503,525.58
35,1.101,2.494,526.63
35,1.406,2.468,529.73
35,1.774,2.443,532.77
35,2.214,2.42,535.73
35,2.734,2.398,538.61
35,3.346,2.377,541.4
35,4.058,2.357,544.09
35,4.881,2.339,546.68
35,5.826,2.321,549.16
35,6.906,2.304,551.52
35,8.131,2.287,553.75
35,9.514,2.271,555.85
35,11.069,2.256,557.81
35,12.808,2.241,559.61
35,14.746,2.226,561.26
35,16.896,2.212,562.74
35,19.275,2.198,564.03
35,21.898,2.185,565.14
35,24.783,2.171,566.05
35,27.948,2.158,566.75
35,31.412,2.144,567.22
35,35.199,2.131,567.45
35,39.332,2.118,567.43
35,43.843,2.104,567.14
35,48.768,2.09,566.54
35,54.168,2.076,565.6
40,0.038,2.899,496.73
40,0.059,2.846,500.22
40,0.089,2.797,503.71
40,0.13,2.751,507.19
40,0.187,2.709,510.65
40,0.262,2.669,514.09
40,0.361,2.633,517.5
40,0.488,2.599,520.88
40,0.65,2.567,524.22
40,0.852,2.537,527.51
40,1.013,2.519,529.68
40,1.101,2.509,530.75
40,1.406,2.483,533.92
40,1.774,2.459,537.04
40,2.214,2.436,540.08
40,2.734,2.414,543.05
40,3.346,2.393,545.93
40,4.058,2.373,548.72
40,4.881,2.355,551.41
40,5.826,2.337,554
40,6.906,2.32,556.48
40,8.131,2.303,558.84
40,9.514,2.288,561.07
40,11.069,2.272,563.16
40,12.808,2.258,565.12
40,14.746,2.244,566.92
40,16.896,2.23,568.57
40,19.275,2.216,570.04
40,21.898,2.203,571.35
40,24.783,2.189,572.46
40,27.948,2.176,573.38
40,31.412,2.164,574.1
40,35.199,2.151,574.59
40,39.332,2.138,574.85
40,43.843,2.125,574.87
40,48.768,2.111,574.61
40,54.168,2.098,574.03
45,0.038,2.916,500.36
45,0.059,2.862,503.89
45,0.089,2.813,507.42
45,0.13,2.767,510.93
45,0.187,2.725,514.44
45,0.262,2.685,517.92
45,0.361,2.649,521.39
45,0.488,2.615,524.82
45,0.65,2.583,528.21
45,0.852,2.553,531.57
45,1.013,2.534,533.78
45,1.101,2.525,534.87
45,1.406,2.499,538.12
45,1.774,2.474,541.31
45,2.214,2.451,544.43
45,2.734,2.429,547.49
45,3.346,2.409,550.46
45,4.058,2.389,553.34
45,4.881,2.37,556.13
45,5.826,2.353,558.82
45,6.906,2.336,561.41
45,8.131,2.319,563.88
45,9.514,2.304,566.24
45,11.069,2.289,568.46
45,12.808,2.274,570.56
45,14.746,2.26,572.51
45,16.896,2.246,574.31
45,19.275,2.233,575.96
45,21.898,2.22,577.44
45,24.783,2.207,578.74
45,27.948,2.194,579.87
45,31.412,2.182,580.8
45,35.199,2.169,581.53
45,39.332,2.157,582.05
45,43.843,2.144,582.34
45,48.768,2.132,582.37
45,54.168,2.118,582.12
50,0.038,2.932,504.01
50,0.059,2.879,507.58
50,0.089,2.829,511.14
50,0.13,2.783,514.7
50,0.187,2.741,518.25
50,0.262,2.701,521.78
50,0.361,2.664,525.29
50,0.488,2.63,528.77
50,0.65,2.598,532.23
50,0.852,2.568,535.64
50,1.013,2.549,537.9
50,1.101,2.54,539.01
50,1.406,2.514,542.33
50,1.774,2.49,545.59
50,2.214,2.466,548.79
50,2.734,2.444,551.92
50,3.346,2.424,554.97
50,4.058,2.404,557.95
50,4.881,2.386,560.83
50,5.826,2.368,563.62
50,6.906,2.351,566.32
50,8.131,2.335,568.9
50,9.514,2.32,571.37
50,11.069,2.305,573.72
50,12.808,2.29,575.95
50,14.746,2.276,578.04
50,16.896,2.263,579.99
50,19.275,2.25,581.79
50,21.898,2.237,583.43
50,24.783,2.224,584.92
50,27.948,2.212,586.23
50,31.412,2.2,587.37
50,35.199,2.187,588.31
50,39.332,2.175,589.06
50,43.843,2.163,589.6
50,48.768,2.151,589.9
50,54.168,2.138,589.92
