0,1.013,2.298,538.59,-11.76
0,1.085,2.297,540.93,-10
0,1.31,2.297,547.63,-5
0,1.57,2.297,554.34,0
0,1.867,2.298,561.06,5
0,2.206,2.3,567.78,10
0,2.59,2.302,574.5,15
0,3.022,2.305,581.21,20
0,3.507,2.309,587.9,25
0,4.047,2.312,594.57,30
0,4.648,2.317,601.21,35
0,5.312,2.321,607.8,40
0,6.044,2.326,614.34,45
0,6.849,2.331,620.82,50
0,7.73,2.336,627.22,55
0,8.692,2.341,633.53,60
0,9.739,2.347,639.72,65
0,10.875,2.352,645.77,70
0,12.107,2.357,651.64,75
0,13.438,2.362,657.31,80
0,14.874,2.367,662.74,85
0,16.42,2.371,667.86,90
0,18.081,2.374,672.62,95
0,19.865,2.377,676.94,100
0,21.778,2.378,680.7,105
0,23.826,2.379,683.74,110
0,26.019,2.377,685.81,115
0,28.366,2.371,686.46,120
0,30.88,2.361,684.81,125
0,33.578,2.34,678.44,130
5,1.013,2.327,546.36,-6.76
5,1.085,2.327,548.76,-5
5,1.31,2.326,555.61,0
5,1.57,2.327,562.47,5
5,1.867,2.328,569.36,10
5,2.206,2.33,576.24,15
5,2.59,2.332,583.14,20
5,3.022,2.335,590.03,25
5,3.507,2.338,596.91,30
5,4.047,2.342,603.77,35
5,4.648,2.347,610.61,40
5,5.312,2.352,617.42,45
5,6.044,2.357,624.19,50
5,6.849,2.362,630.91,55
5,7.73,2.367,637.56,60
5,8.692,2.373,644.14,65
5,9.739,2.379,650.62,70
5,10.875,2.384,656.98,75
5,12.107,2.39,663.2,80
5,13.438,2.396,669.27,85
5,14.874,2.401,675.14,90
5,16.42,2.406,680.79,95
5,18.081,2.411,686.19,100
5,19.865,2.415,691.28,105
5,21.778,2.419,696,110
5,23.826,2.421,700.29,115
5,26.019,2.423,704.05,120
5,28.366,2.424,707.16,125
5,30.88,2.423,709.46,130
5,33.578,2.419,710.76,135
10,1.013,2.357,554.23,-1.76
10,1.085,2.356,556.68,0
10,1.31,2.356,563.68,5
10,1.57,2.356,570.7,10
10,1.867,2.357,577.74,15
10,2.206,2.359,584.79,20
10,2.59,2.361,591.85,25
10,3.022,2.365,598.92,30
10,3.507,2.368,605.98,35
10,4.047,2.372,613.03,40
10,4.648,2.377,620.07,45
10,5.312,2.382,627.09,50
10,6.044,2.387,634.07,55
10,6.849,2.392,641.01,60
10,7.73,2.398,647.9,65
10,8.692,2.404,654.73,70
10,9.739,2.41,661.47,75
10,10.875,2.416,668.12,80
10,12.107,2.422,674.66,85
10,13.438,2.428,681.08,90
10,14.874,2.434,687.34,95
